year,month,passengers
2018,January,105
2018,February,110
2018,March,120
2018,April,118
2018,May,130
2018,June,145
2018,July,155
2018,August,150
2018,September,140
2018,October,135
2018,November,125
2018,December,140
2019,January,112
2019,February,118
2019,March,132
2019,April,129
2019,May,145
2019,June,160
2019,July,170
2019,August,168
2019,September,150
2019,October,142
2019,November,130
2019,December,155
2020,January,140
2020,February,135
2020,March,90
2020,April,45
2020,May,60
2020,June,80
2020,July,95
2020,August,100
2020,September,110
2020,October,120
2020,November,125
2020,December,130
2021,January,135
2021,February,140
2021,March,150
2021,April,155
2021,May,165
2021,June,180
2021,July,190
2021,August,185
2021,September,170
2021,October,160
2021,November,155
2021,December,170
