cgpa,package,placement
5.1,2.4,0
5.3,2.8,0
5.5,3.1,0
5.7,3.0,0
5.8,3.2,0
5.9,3.5,0
6.0,3.4,0
6.1,3.7,0
6.2,3.8,0
6.3,3.9,0
6.4,4.2,1
6.5,4.0,1
6.6,4.5,1
6.7,4.3,1
6.8,4.8,1
6.9,4.7,1
7.0,5.0,1
7.1,5.2,1
7.2,5.1,1
7.3,5.5,1
7.4,5.8,1
7.5,5.7,1
7.6,6.2,1
7.7,6.0,1
7.8,6.5,1
7.9,6.4,1
8.0,7.0,1
8.1,7.2,1
8.2,7.5,1
8.3,7.8,1
8.4,7.9,1
8.5,8.2,1
8.6,8.5,1
8.7,9.0,1
8.8,9.2,1
8.9,9.8,1
9.0,10.5,1
9.1,11.2,1
9.2,12.0,1
9.3,13.5,1
9.4,14.8,1
9.5,15.2,1
9.6,16.5,1
9.7,18.0,1
9.8,19.5,1
9.9,22.0,1
5.2,2.5,0
5.4,2.9,0
5.6,3.0,0
6.0,3.6,0
6.2,4.0,1
6.4,4.3,1
6.6,4.6,1
6.8,5.0,1
7.0,5.3,1
7.2,5.6,1
7.4,6.0,1
7.6,6.5,1
7.8,6.8,1
8.0,7.2,1
8.2,8.0,1
8.4,8.5,1
8.6,9.2,1
8.8,10.0,1
9.0,11.5,1
9.2,12.8,1
9.4,15.5,1
9.6,17.2,1
9.8,20.0,1
5.5,3.2,0
6.5,4.1,1
7.5,5.9,1
8.5,8.8,1
9.5,16.0,1
5.1,2.3,0
6.1,3.5,0
7.1,5.0,1
8.1,7.0,1
9.1,10.8,1
5.8,3.1,0
6.8,4.9,1
7.8,6.6,1
8.8,9.5,1
9.8,19.0,1
5.0,2.1,0
6.0,3.3,0
7.0,5.1,1
8.0,7.1,1
9.0,11.0,1
5.4,2.7,0
6.4,4.2,1
7.4,5.9,1
8.4,8.3,1
9.4,14.5,1
5.7,3.1,0
6.7,4.6,1
7.7,6.3,1
8.7,9.1,1
9.7,17.5,1
