cgpa,package,gender,iq
6.89,3.26,male,112
5.12,1.98,female,98
7.82,3.25,male,118
7.42,3.67,female,115
6.94,3.57,male,108
7.89,2.99,female,120
6.73,2.6,male,105
6.75,2.48,female,103
6.09,2.31,male,101
8.31,3.51,female,125
5.32,1.86,male,97
6.61,2.6,female,106
8.94,3.65,male,128
6.93,2.89,female,109
7.73,3.42,male,119
7.25,3.23,female,113
6.84,2.35,male,107
5.38,2.09,female,99
6.94,2.98,male,110
7.48,2.83,female,114
7.28,3.16,male,112
6.85,2.93,female,108
6.14,2.3,male,102
6.19,2.48,female,104
6.53,2.71,male,105
7.28,3.65,female,116
8.31,3.42,male,124
5.42,2.16,female,100
5.94,2.24,male,101
7.15,3.49,female,114
7.36,3.26,male,115
8.1,3.89,female,122
6.96,3.08,male,109
6.35,2.73,female,104
7.34,3.42,male,116
6.87,2.87,female,108
5.99,2.84,male,103
5.9,2.43,female,102
8.62,4.36,male,127
7.43,3.33,female,117
9.38,4.02,male,130
6.89,2.7,female,109
5.95,2.54,male,103
7.66,2.76,female,118
5.09,1.86,male,96
7.87,3.58,female,121
6.07,2.26,male,102
5.84,3.26,female,104
8.63,4.09,male,126
8.87,4.62,female,129
9.58,4.43,male,132
9.26,3.79,female,131
8.37,4.11,male,125
6.47,2.61,female,106
6.86,3.09,male,108
8.2,3.39,female,123
5.84,2.74,male,103
6.6,1.94,female,105
6.92,3.09,male,109
7.56,3.31,female,117
5.61,2.19,male,101
5.48,1.61,female,98
6.34,2.09,male,105
9.16,4.25,female,130
7.36,2.92,male,115
7.6,3.81,female,119
5.11,1.63,male,97
6.51,2.89,female,107
7.56,2.99,male,117
7.3,2.94,female,113
5.79,2.35,male,103
7.47,3.34,female,116
7.78,3.62,male,119
8.44,4.03,female,124
6.85,3.44,male,108
6.97,3.28,female,110
6.94,3.15,male,111
8.99,4.6,female,129
6.59,2.21,male,106
7.18,3.0,female,112
7.63,3.44,male,118
6.1,2.2,female,102
5.58,2.17,male,101
8.44,3.49,female,124
4.26,1.53,male,95
4.79,1.48,female,96
7.61,2.77,male,118
8.09,3.55,female,122
4.73,1.48,male,95
6.42,2.72,female,106
7.11,2.66,male,111
6.22,2.14,female,104
7.9,4.0,male,121
6.79,3.08,female,108
5.83,2.42,male,104
6.63,2.79,female,107
7.11,2.61,male,111
5.98,2.84,female,104
7.69,3.83,male,120
6.61,3.24,female,107
7.95,4.14,male,121
6.71,3.52,female,108
5.13,1.37,male,97
7.05,3.0,female,111
7.62,3.74,male,119
6.66,2.82,female,107
6.13,2.19,male,103
6.33,2.59,female,105
7.76,3.54,male,120
7.77,4.06,female,119
8.18,3.76,male,123
5.42,2.25,female,100
8.58,4.1,male,126
6.94,2.37,female,110
5.84,1.87,male,104
8.35,4.21,female,125
9.04,3.33,male,130
7.12,2.99,female,112
7.4,2.88,male,116
7.39,2.65,female,115
5.23,1.73,male,98
6.5,3.02,female,107
5.12,2.01,male,99
5.1,2.3,female,100
6.06,2.31,male,102
7.33,3.16,female,114
5.91,2.6,male,104
6.78,3.11,female,109
7.93,3.34,male,121
7.29,3.12,female,113
6.68,2.49,male,108
6.37,2.01,female,105
5.84,2.48,male,104
6.05,2.58,female,103
7.2,2.83,male,113
6.1,2.6,female,102
5.64,2.1,male,102
7.14,3.13,female,112
7.91,3.89,male,121
7.19,2.4,female,113
7.91,3.15,male,121
6.76,3.18,female,108
6.93,3.04,male,110
4.85,1.54,female,96
6.17,2.42,male,103
5.84,2.18,female,104
6.07,2.46,male,103
5.66,2.21,female,102
7.57,3.4,male,118
8.28,3.67,female,124
6.3,2.73,male,105
6.12,2.76,female,103
7.37,3.08,male,116
7.94,3.99,female,120
7.08,2.85,male,111
6.98,3.09,female,110
7.38,3.13,male,116
6.47,2.7,female,106
5.95,3.04,male,104
8.71,4.08,female,127
7.13,2.93,male,112
7.3,3.33,female,114
5.53,2.55,male,102
8.93,3.91,female,128
9.06,3.82,male,130
8.21,4.08,female,123
8.6,3.98,male,126
8.13,3.6,female,122
8.65,3.52,male,127
9.31,4.37,female,131
6.22,2.87,male,104
8.01,3.76,female,122
6.93,2.51,male,110
6.75,2.56,female,108
7.32,2.99,male,114
7.04,3.5,female,111
6.29,3.23,male,105
7.09,3.64,female,111
8.15,3.63,male,123
7.14,3.03,female,112
6.19,2.72,male,103
8.22,3.89,female,123
5.88,2.08,male,104
7.28,2.72,female,113
7.88,3.14,male,120
6.31,3.18,female,105
7.84,3.47,male,120
6.26,2.44,female,105
7.35,3.08,male,115
8.11,4.06,female,122
6.19,2.69,male,103
7.28,3.48,female,113
8.25,3.75,male,124
4.57,1.94,female,96
7.89,3.67,male,121
6.93,2.46,female,110
5.89,2.57,male,104
7.21,3.24,female,113
7.63,3.96,male,119
6.22,2.33,female,104
