Age,Experience,Salary,Height,Favorite_Color
21,0,18000,165,Blue
22,1,20000,168,Red
23,1,22000,170,Green
24,2,25000,172,Blue
25,2,28000,169,Red
26,3,32000,171,Green
27,3,35000,173,Blue
28,4,40000,174,Red
29,4,45000,175,Green
30,5,50000,176,Blue
31,5,55000,177,Red
32,6,60000,178,Green
33,6,65000,179,Blue
34,7,70000,180,Red
35,7,75000,181,Green
36,8,80000,182,Blue
37,8,85000,183,Red
38,9,90000,184,Green
39,9,95000,185,Blue
40,10,100000,186,Red
41,11,110000,187,Green
42,12,120000,188,Blue
43,13,130000,189,Red
44,14,140000,190,Green
45,15,150000,191,Blue
