cgpa,package
5.1,2.4
5.3,2.8
5.5,3.1
5.7,3.0
5.8,3.2
5.9,3.5
6.0,3.4
6.1,3.7
6.2,3.8
6.3,3.9
6.4,4.2
6.5,4.0
6.6,4.5
6.7,4.3
6.8,4.8
6.9,4.7
7.0,5.0
7.1,5.2
7.2,5.1
7.3,5.5
7.4,5.8
7.5,5.7
7.6,6.2
7.7,6.0
7.8,6.5
7.9,6.4
8.0,7.0
8.1,7.2
8.2,7.5
8.3,7.8
8.4,7.9
8.5,8.2
8.6,8.5
8.7,9.0
8.8,9.2
8.9,9.8
9.0,10.5
9.1,11.2
9.2,12.0
9.3,13.5
9.4,14.8
9.5,15.2
9.6,16.5
9.7,18.0
9.8,19.5
9.9,22.0
5.2,2.5
5.4,2.9
5.6,3.0
6.0,3.6
6.2,4.0
6.4,4.3
6.6,4.6
6.8,5.0
7.0,5.3
7.2,5.6
7.4,6.0
7.6,6.5
7.8,6.8
8.0,7.2
8.2,8.0
8.4,8.5
8.6,9.2
8.8,10.0
9.0,11.5
9.2,12.8
9.4,15.5
9.6,17.2
9.8,20.0
5.5,3.2
6.5,4.1
7.5,5.9
8.5,8.8
9.5,16.0
5.1,2.3
6.1,3.5
7.1,5.0
8.1,7.0
9.1,10.8
5.8,3.1
6.8,4.9
7.8,6.6
8.8,9.5
9.8,19.0
5.0,2.1
6.0,3.3
7.0,5.1
8.0,7.1
9.0,11.0
5.4,2.7
6.4,4.2
7.4,5.9
8.4,8.3
9.4,14.5
5.7,3.1
6.7,4.6
7.7,6.3
8.7,9.1
9.7,17.5
